name,cuisines,rating,cost_for_two,city
KFC,"Burger, Fast Food",3.9,400.0,Jp Nagar
Dande's Hyderabad Biryani,"Biryani, Andhra, North Indian",3.8,700.0,Bannerghatta Road
Onesta,"Pizza, Cafe, Italian",4.4,600.0,Jp Nagar
Upahara Bhavan,"South Indian, North Indian, Chinese",3.8,300.0,Bannerghatta Road
Sher-E-Punjab,"North Indian, Chinese",3.2,400.0,Btm
Shuddh Desi Khana,North Indian,4.0,400.0,Bannerghatta Road
Karama Restaurant,Arabian,3.5,400.0,Jp Nagar
Jaganath Hotel and Restaurant,"North Indian, Chinese",3.6,200.0,Jp Nagar
Five Star Chicken,"Fast Food, Beverages",3.5,250.0,Bannerghatta Road
Sankranthi Veg Restaurant,"South Indian, North Indian, Chinese",3.0,600.0,Btm
Aramane Donne Biriyani,"Biryani, Fast Food",3.9,300.0,Btm
Cafe Potpourri,"Cafe, Sandwich, North Indian, Beverages, Desserts",3.7,400.0,Jp Nagar
Mani's Dum Biryani,"Biryani, Kebab",4.2,750.0,Jp Nagar
Amontron,Bengali,3.9,650.0,Btm
A M Biryani Hotel,"North Indian, Chinese, Biryani, Fast Food",3.3,300.0,Bannerghatta Road
Birinz,"Biryani, Chinese, Mughlai, Fast Food, Kebab",4.1,700.0,Btm
Just Shawarma,Arabian,3.6,300.0,Bannerghatta Road
Hyderabadi Bawarchi,"North Indian, Chinese, Biryani",3.2,500.0,Bannerghatta Road
Fish Chain,"Seafood, BBQ, Biryani",3.9,250.0,Jp Nagar
Prasiddhi Food Corner,"Fast Food, North Indian, South Indian",3.7,200.0,Jp Nagar
Biriyani Bhatti,"Chinese, Hyderabadi, North Indian",3.7,400.0,Btm
Hyderabad Biryaani House,"Biryani, North Indian, Chinese",3.6,550.0,Bannerghatta Road
Galito's,"African, Burger",4.6,1000.0,Bannerghatta Road
C. K. Mega Hot Food,"Chinese, Momos",3.9,600.0,Btm
Lassi Shop,"Beverages, Ice Cream, Fast Food",3.9,300.0,Jp Nagar
Red Chilli Restaurant,"North Indian, Chinese",3.2,350.0,Bannerghatta Road
RSS Donne Biryani,Biryani,3.3,300.0,Btm
Rajdhani Thali Restaurant,North Indian,3.9,900.0,Bannerghatta Road
PHEW (Play Hard Eat Wild),"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",3.9,700.0,Btm
New Kabab Zone,"North Indian, Chinese, Biryani, Rolls",3.6,500.0,Bannerghatta Road
Bawarchi Paradise,"North Indian, Biryani",3.5,500.0,Bannerghatta Road
Shree Udupi Grand,"South Indian, Chinese, North Indian",3.5,450.0,Kanakapura Road
Chicken County Grand,"North Indian, Chinese",3.9,650.0,Bannerghatta Road
Roll Over,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",4.1,500.0,Jp Nagar
Darjeeling Momos & Fast Food Center,"Fast Food, Momos",3.8,250.0,Bannerghatta Road
Veruthe Oru Thattukada,"Kerala, South Indian",3.7,400.0,Btm
Savoury - Sea Shell Restaurant,"Arabian, North Indian, Chinese, Seafood, Biryani, Rolls, Beverages",3.9,900.0,Bannerghatta Road
Warm Oven,"Bakery, Desserts",3.9,500.0,Btm
Firangi Bake,"Mexican, Italian",4.0,600.0,Bannerghatta Road
Zaitoon,"BBQ, Arabian, Chinese, North Indian, Desserts",4.1,1000.0,Jp Nagar
Kundana,"Andhra, Biryani",3.7,800.0,Bannerghatta Road
Food Ka Masti,"North Indian, Chinese, South Indian",3.2,400.0,Bannerghatta Road
The Shawarma Shop,Arabian,4.1,250.0,Btm
Momo Junction,"Fast Food, Momos",3.8,100.0,Bannerghatta Road
Antilla Aromas,"Desserts, Ice Cream",3.7,300.0,Bannerghatta Road
Faasos,"North Indian, Biryani, Fast Food",3.9,500.0,Bannerghatta Road
Punjabi Food Corner,"North Indian, Chinese, Street Food",3.0,400.0,Jp Nagar
Mealer.in,"North Indian, Biryani",4.0,450.0,Jp Nagar
Pathaan Sir,"Fast Food, Rolls, Momos",3.9,250.0,Btm
Cold Stone Creamery,"Ice Cream, Desserts",3.9,400.0,Bannerghatta Road
Hari Super Sandwich,"Sandwich, Fast Food",3.9,100.0,Btm
Amritsari Kulcha Land,North Indian,4.1,300.0,Jp Nagar
Chokha Chowka,"North Indian, Chinese",3.9,400.0,Btm
Gorbandh,"Fast Food, North Indian",4.1,400.0,Btm
Grills & Rolls,"North Indian, Chinese, Fast Food, Rolls, Juices",2.5,400.0,Jp Nagar
Bathinda Junction,North Indian,3.9,600.0,Btm
Stories,"American, Chinese, Continental, North Indian",4.2,1200.0,Jp Nagar
New Gongura's,"Andhra, Biryani, North Indian, Chinese",3.7,550.0,Btm
Sagar Grand,"South Indian, North Indian, Chinese",3.8,300.0,Bannerghatta Road
Kanti Sweets,"Mithai, Street Food",4.0,400.0,Jp Nagar
UBQ By Barbeque Nation,"North Indian, BBQ, Biryani, Kebab",3.4,450.0,Jp Nagar
Agarwal Food Service,"North Indian, Chinese, Biryani",3.8,400.0,Bannerghatta Road
Daniyal's,"North Indian, Biryani, Mughlai, Kebab",3.1,800.0,Btm
Seasons,"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",3.8,1000.0,Bannerghatta Road
Chef Delicacies,"Kebab, Rolls, Charcoal Chicken",3.1,400.0,Jp Nagar
Chung Wah,"Chinese, Thai, Momos, Vietnamese",4.0,800.0,Bannerghatta Road
Indiana Burgers,Burger,3.4,300.0,Btm
Moksha,"Chinese, North Indian, Andhra, South Indian",3.6,1500.0,Kanakapura Road
Marwa Restaurant,"North Indian, Chinese, Fast Food, BBQ",3.5,600.0,Bannerghatta Road
Chaatimes,"Street Food, Fast Food",3.9,200.0,Jp Nagar
Shanghai Court,"Chinese, Thai",4.2,700.0,Bannerghatta Road
Akshaya Donne Biriyani,"Biryani, South Indian, Kebab",3.1,300.0,Jp Nagar
Sweet Truth,"Bakery, Desserts",3.7,500.0,Bannerghatta Road
Bhojohori Manna,"Bengali, Mughlai",3.7,650.0,Jp Nagar
Richie Rich,"Desserts, Ice Cream, Beverages",3.1,250.0,Jp Nagar
Hunger Bee,"Biryani, North Indian, South Indian",3.8,500.0,Bannerghatta Road
Yum In My Tum,"Chinese, Continental, Fast Food, Healthy Food",4.1,300.0,Btm
Maggi N Maggi House,Fast Food,3.4,300.0,Bannerghatta Road
Fresh Dinner,"North Indian, Biryani",3.1,500.0,Bannerghatta Road
B.M.W Bhookh Mitaane Wala,"North Indian, South Indian, Chinese",3.5,500.0,Jp Nagar
Biryani Miya,"Biryani, North Indian",3.7,600.0,Jp Nagar
Krispy Kreme,"Desserts, Beverages",3.7,300.0,Bannerghatta Road
Paani Kum Chai,"Beverages, Fast Food",4.0,200.0,Jp Nagar
Chulha Chauki Da Dhaba,North Indian,4.2,800.0,Jp Nagar
SGS Non Veg - Gundu Pulav,"Biryani, South Indian",3.9,300.0,Bannerghatta Road
Dreamcatcher,Cafe,3.9,600.0,Bannerghatta Road
Magix's Parattha Roll,"Fast Food, North Indian, Chinese, Mughlai, Rolls",3.7,400.0,Btm
Elegant Dining,"Biryani, North Indian, Chinese",3.6,700.0,Bannerghatta Road
AlienSip,Juices,3.6,200.0,Btm
Waffle Head,"Desserts, Beverages, Bakery, Ice Cream",4.0,300.0,Btm
Samruddhi Biryani,"Biryani, North Indian",3.0,700.0,Bannerghatta Road
Ande Ka Funda,"North Indian, Fast Food, Rolls",3.2,250.0,Bannerghatta Road
Basmati Delights,"Biryani, Chinese, Mughlai, Fast Food, Kebab",4.0,500.0,Btm
Charlee's Chicken,"Rolls, Chinese, Fast Food",3.2,300.0,Bannerghatta Road
Samosa Singh,"Street Food, Fast Food, Rolls, Desserts",4.0,200.0,Jp Nagar
Cravings,"North Indian, Chinese, Rolls",3.7,400.0,Bannerghatta Road
Nagas,Andhra,3.1,300.0,Jp Nagar
Matka,"Biryani, North Indian",3.7,500.0,Bannerghatta Road
Punjabi Swag,North Indian,3.9,500.0,Btm
Taco Bell,"Mexican, American, Fast Food",3.7,600.0,Bannerghatta Road
Ambur Star Dum Biryani,Biryani,3.4,100.0,Jayanagar
Mother's Rasoi,"North Indian, Chinese, Momos",3.8,250.0,Bannerghatta Road
Dosa Bazaar,"Street Food, South Indian",4.0,200.0,Jp Nagar
Babu Moshai,"Fast Food, Bengali",3.0,500.0,Bannerghatta Road
The Bong Palate,"Bengali, North Indian, Chinese",3.8,300.0,Btm
Gowdru Mane Oota,"South Indian, Andhra",3.7,400.0,Jp Nagar
Banashankari Nati Style,South Indian,3.6,300.0,Jp Nagar
Upahara Darshini,"South Indian, North Indian, Chinese",4.0,400.0,Jayanagar
Chandrima's Kitchen,"Bengali, North Indian",3.7,400.0,Bannerghatta Road
Keventers,"Desserts, Beverages, Ice Cream",3.8,400.0,Bannerghatta Road
Bikaner Jn,Rajasthani,3.9,300.0,Jp Nagar
Crunch Pizzas,"Italian, Pizza",2.6,600.0,Btm
Lassi Berg,Juices,3.4,100.0,Btm
Kakal-Kai Ruchi,"North Indian, South Indian, Chinese",3.7,500.0,Jp Nagar
Manchu Cafe,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",3.8,300.0,Btm
Calorie Express,Healthy Food,3.6,450.0,Btm
BANGALORE BOX,"Asian, Continental, Finger Food",4.2,1500.0,Btm
Yummy Momos,"Momos, Street Food, Fast Food, Tibetan, Chinese",3.6,200.0,Bannerghatta Road
Hotel Khaaja,"Biryani, Fast Food",3.1,250.0,Bannerghatta Road
The Gujarat Express,"Street Food, Mithai, North Indian",3.1,250.0,Bannerghatta Road
Ovenstory Pizza,Pizza,4.0,750.0,Bannerghatta Road
Slate Cafe,"Cafe, Sandwich, Burger",4.1,600.0,Jp Nagar
Vishal Foods,"Chinese, North Indian, Street Food",3.3,250.0,Bannerghatta Road
Lassi Darbar,"Ice Cream, Juices, Beverages",3.5,200.0,Btm
Chavadi,"Continental, North Indian, Pizza, Italian",4.4,1200.0,Bannerghatta Road
Nanna Munna Paratha House,North Indian,4.0,300.0,Btm
Cucumber Town,"Kerala, North Indian",4.2,600.0,Btm
Sri Sai 99 Variety Dosa,South Indian,3.7,300.0,Bannerghatta Road
Oye Amritsar,North Indian,3.8,1000.0,Jp Nagar
Kolkata Famous Kati Roll,"Rolls, Chinese",3.5,200.0,Jp Nagar
Nellore Ruchulu,"North Indian, South Indian, Chinese",3.7,800.0,Bannerghatta Road
Brewsky,"Continental, American",4.4,1600.0,Jp Nagar
Chefeana,North Indian,4.0,400.0,Bannerghatta Road
Bangaliana,Bengali,2.9,600.0,Bannerghatta Road
Gud Dhani,Rajasthani,4.0,500.0,Btm
The Hunger Room,"Continental, Sandwich, Burger, Italian, Salad, Pizza",3.9,400.0,Jp Nagar
McDonald's,"Burger, Fast Food",4.0,500.0,Bannerghatta Road
Parisar Veg Restaurant,"Chinese, North Indian, South Indian",3.6,400.0,Bannerghatta Road
WAFL,"Cafe, Fast Food, Desserts, Beverages",3.9,400.0,Bannerghatta Road
Deejas Kitchen,"South Indian, Kerala",3.9,400.0,Bannerghatta Road
Pancuzzi,"Cafe, Beverages, Desserts",4.2,600.0,Jp Nagar
Zhang's - Chinese Restaurant,"Chinese, Momos",4.1,700.0,Jp Nagar
Shagun Sweets & Foods,"Mithai, North Indian, Street Food, Chinese",3.5,400.0,Btm
Eat Well,"North Indian, Chinese",2.9,400.0,Jp Nagar
Dev's Gugababa,"Bengali, North Indian, Chinese",3.5,500.0,Btm
Oogway Express,"Chinese, Thai, Momos",3.9,600.0,Jp Nagar
Domino's Pizza,"Pizza, Fast Food",3.0,800.0,Bannerghatta Road
Pizza Stop,"Pizza, Italian",3.9,600.0,Jp Nagar
Balaji Bombay Vada Pav Gujrati Dalebi,"Street Food, Sandwich",3.8,150.0,Jp Nagar
The Cake Ville,"Bakery, Desserts, Fast Food",3.2,300.0,Jp Nagar
The Egg Factory,"Continental, American",4.0,750.0,Jp Nagar
Chow San,"Chinese, Thai, Momos",3.0,500.0,Bannerghatta Road
New Udupi Grand,"South Indian, North Indian, Chinese",3.5,300.0,Jp Nagar
New Karawali Lunch Home,Mangalorean,3.5,350.0,Bannerghatta Road
SR Choco Station,Desserts,3.4,200.0,Jp Nagar
Momo Jojo,"Chinese, Tibetan, Momos",4.3,300.0,Jp Nagar
Simply Indian,"North Indian, Chinese, Seafood, Biryani, Mangalorean",3.9,800.0,Bannerghatta Road
Delhi Biryani Cafe,"North Indian, Biryani",3.5,250.0,Btm
Rithika's Kitchen,"Biryani, South Indian, Andhra",3.8,350.0,Jp Nagar
Punjabi Times,North Indian,4.1,1000.0,Bannerghatta Road
Chai Point,"Tea, Beverages, Fast Food",3.6,250.0,Bannerghatta Road
Cafe Coffee Day,"Cafe, Fast Food",3.7,900.0,Bannerghatta Road
Cravy Wings,"American, Burger, Fast Food",4.2,400.0,Bannerghatta Road
Funky Punjab,"North Indian, Chinese",3.9,500.0,Jp Nagar
A1 Garam Masala,"North Indian, South Indian, Andhra, Chinese",3.6,600.0,Kanakapura Road
Punjabi Corner,"North Indian, Chinese",3.9,250.0,Bannerghatta Road
Guru Palace,"Chinese, North Indian",3.1,450.0,Bannerghatta Road
#refuel,"Cafe, Beverages",3.7,400.0,Bannerghatta Road
Biggies Burger 'n' More,"Cafe, Burger, Beverages",4.1,650.0,Jp Nagar
Zeeshan,"North Indian, Mughlai, Biryani, Rolls",3.1,600.0,Jp Nagar
Ambara Gardenia,"Andhra, North Indian, Chinese, Seafood",3.8,800.0,Bannerghatta Road
LayerBite,"Bakery, Desserts, Beverages",3.8,450.0,Btm
Five Star Chicken,"Fast Food, Burger",3.2,250.0,Bannerghatta Road
Bhavani Chats,Street Food,3.6,100.0,Bannerghatta Road
Shawarma Inc,"Rolls, Lebanese",3.2,250.0,Bannerghatta Road
More Pizza,Pizza,3.8,450.0,Jp Nagar
Butterly,"Cafe, Bakery, Beverages",3.9,450.0,Bannerghatta Road
Crafted Plate,"Cafe, Asian, Burger, Continental, Italian, Salad",4.2,600.0,Jp Nagar
Shetty's Kitchen,Mangalorean,3.7,600.0,Bannerghatta Road
Machali Port,"Mangalorean, Seafood, North Indian",3.9,750.0,Jp Nagar
Naati Manae,"South Indian, Biryani",3.1,500.0,Jp Nagar
Mad Over Biryani,"Biryani, North Indian",3.3,600.0,Jp Nagar
Garma Garam,"North Indian, Chinese, Biryani, Rolls",3.2,350.0,Bannerghatta Road
Sambram Biriyani Paradise,"Biryani, North Indian, Chinese",3.5,600.0,Jp Nagar
Mr. Meetharam,"Mithai, Street Food",3.2,150.0,Jp Nagar
The Coastal Crew by Fujian on 24th,"Chinese, Thai, Seafood, North Indian, Momos",4.2,1100.0,Jp Nagar
BIB - Breakfast in the Box,"American, Sandwich",3.8,600.0,Bannerghatta Road
Angel Restaurant,"Kerala, South Indian, North Indian",2.8,450.0,Bannerghatta Road
Wow Momo,"Tibetan, Momos",3.3,300.0,Jp Nagar
Pizza Da Dhaba,"Fast Food, Pizza",2.9,400.0,Bannerghatta Road
Kalpavruksha,"South Indian, North Indian",3.9,300.0,Bannerghatta Road
Juice Land,"Juices, Beverages",3.9,300.0,Bannerghatta Road
Tandoor And Spice,"North Indian, Chinese, Biryani, Hyderabadi",4.0,550.0,Jp Nagar
Rock Stone Ice Cream Factory,Ice Cream,4.0,230.0,Btm
Paratha Plaza,North Indian,3.8,250.0,Jp Nagar
Krishna Vijayashree,"Biryani, North Indian, Chinese",3.5,700.0,Bannerghatta Road
Soup Station,Continental,3.6,250.0,Bannerghatta Road
Tasty Point,"Burger, Sandwich, Finger Food",3.3,300.0,Bannerghatta Road
Natural Mumbai Kulfi,Ice Cream,3.5,130.0,Btm
Namma Kudla,"Mangalorean, North Indian, Chinese, Seafood",3.9,400.0,Jp Nagar
Triveni,"Andhra, North Indian, Chinese",3.6,600.0,Bannerghatta Road
Wangs Kitchen,Chinese,3.0,1000.0,Bannerghatta Road
RK Fresh Food,Fast Food,3.5,300.0,Btm
Alif Restaurant,"North Indian, Chinese",3.6,600.0,Jp Nagar
Dine One One Restaurant,"South Indian, Continental, North Indian",3.6,500.0,Bannerghatta Road
Pallavas Veg Cuisine,"North Indian, South Indian, Chinese",3.6,600.0,Bannerghatta Road
The Food Cottage,"Hyderabadi, North Indian",3.7,350.0,Btm
Brundhavana Pure Veg,"South Indian, North Indian, Chinese, Beverages",3.7,500.0,Jp Nagar
Spice Up,Chinese,3.8,600.0,Jp Nagar
Suryawanshi,"Maharashtrian, Seafood",3.7,700.0,Bannerghatta Road
Tempteys,Beverages,4.2,500.0,Btm
DeliBox.in,South Indian,3.7,150.0,Btm
FRYBIES,Fast Food,3.3,350.0,Bannerghatta Road
Crumb Together,"Continental, Finger Food, North Indian, Chinese",4.1,1200.0,Jp Nagar
The Foodyz,"North Indian, Chinese",3.7,500.0,Jp Nagar
Bean D'er Cafe,"Tamil, Fast Food",3.5,250.0,Jp Nagar
Chaat Chatore,Fast Food,3.1,300.0,Bannerghatta Road
Black Mug Cafe,Cafe,3.7,300.0,Bannerghatta Road
Taste Of Kolkata,"Bengali, Chinese, Rolls",3.1,400.0,Btm
Y Not Restaurant,Fast Food,3.1,300.0,Jp Nagar
24/7 Food Service,"South Indian, North Indian, Fast Food",3.0,300.0,Jp Nagar
Meat And Eat,"Fast Food, Burger",3.7,500.0,Jp Nagar
Modern Restaurant,"North Indian, Chinese",3.0,450.0,Btm
Vinaya Coffee Moments,"Burger, Cafe, Desserts, Sandwich, Italian",3.7,450.0,Jp Nagar
Burrito Boys,"Mexican, Tex-Mex",3.0,400.0,Bannerghatta Road
Trippy Paradise,Cafe,2.6,900.0,Btm
Biryani Magic,"North Indian, Biryani",3.5,300.0,Btm
Nagarjuna,"Andhra, Biryani",4.2,800.0,Bannerghatta Road
Laddoos,"North Indian, Street Food, Mithai",3.4,250.0,Btm
New Prashanth Hotel,"South Indian, Biryani, Chinese, North Indian",3.1,750.0,Jp Nagar
Waffle Stories,"Desserts, Beverages",4.0,300.0,Btm
Late Night,"North Indian, Chinese",3.7,500.0,Kumaraswamy Layout
Kettle & Kegs,"Tea, Beverages",3.3,200.0,Bannerghatta Road
Waffle Walle,"Desserts, Belgian, Beverages",4.3,500.0,Bannerghatta Road
Dakshin Cafe,South Indian,4.1,100.0,Jp Nagar
Shake It Off,"Beverages, Fast Food",4.0,600.0,Jp Nagar
Bombay Kulfi,"Desserts, Ice Cream",3.7,150.0,Jp Nagar
Chaat Central,"Street Food, North Indian",3.3,300.0,Bannerghatta Road
Two Friends Cauldron,"Continental, Italian, American",4.1,700.0,Jp Nagar
Bun Town,"Cafe, Bakery",4.0,500.0,Btm
Garden Fresh,"Healthy Food, Juices",3.9,200.0,Btm
Dhabeliwala,"Street Food, Beverages, Gujarati",3.8,250.0,Jp Nagar
Rayaan's BBQ,"North Indian, BBQ",3.3,350.0,Btm
Chaat Junction,Street Food,3.7,200.0,Bannerghatta Road
Asharfilal,Desserts,3.5,150.0,Bannerghatta Road
Street Foods by Punjab Grill,"Street Food, North Indian, Beverages",3.6,800.0,Bannerghatta Road
Tiwari's Ghee Paratha and Chats,"North Indian, Street Food",3.2,200.0,Jp Nagar
Spurthi Foods,Andhra,3.7,300.0,Btm
Melting Pot at Woodrose,North Indian,3.7,800.0,Jp Nagar
Pot Biryani,"North Indian, Chinese, Biryani, Seafood",3.1,600.0,Bannerghatta Road
Thanco's Natural Ice Cream,"Ice Cream, Desserts",3.6,450.0,Btm
Mango Tree- The Beer Garden,"North Indian, Chinese, Continental",4.1,1200.0,Jp Nagar
Dessi Cuppa,"Beverages, Fast Food",3.4,300.0,Btm
Halli Mane MUDDE OOTA,South Indian,3.5,300.0,Jp Nagar
Eat & Joy Restaurant,"Fast Food, Finger Food",3.0,300.0,Jp Nagar
Wow Vada Pav,"Fast Food, Street Food",3.3,150.0,Bannerghatta Road
The Jade Kitchen,"Chinese, Thai",4.0,400.0,Jp Nagar
Krishna Vaibhava,"North Indian, South Indian",3.5,350.0,Btm
Sandwichwallas,Fast Food,3.6,200.0,Jp Nagar
Drunken Monkey,"Beverages, Fast Food",4.4,400.0,Bannerghatta Road
Woodee Pizza,"Cafe, Pizza, Fast Food, Beverages",2.7,500.0,Jp Nagar
Nandhanus Rasoi,"Chinese, Rolls, North Indian",3.4,200.0,Jayanagar
Donne Biriyani Mane,Biryani,3.2,350.0,Bannerghatta Road
Fish And Dish,"Mangalorean, Chinese",3.6,350.0,Jp Nagar
Miss Momo,"Tibetan, Momos",3.2,250.0,Btm
Funky Punjab,"North Indian, Chinese",3.9,400.0,Btm
Intalia,"Pizza, Italian",3.6,800.0,Bannerghatta Road
Chicken County Restaurant,"North Indian, Chinese, Fast Food",3.5,400.0,Bannerghatta Road
Velvet Kitchen,"North Indian, Chinese",3.5,600.0,Bannerghatta Road
Hotel Aradhana,North Indian,3.7,300.0,Bannerghatta Road
The Chervil,"North Indian, Continental",4.2,1000.0,Jp Nagar
Sri Rajasthani Foods,"Rajasthani, North Indian",3.6,200.0,Jp Nagar
New Royal Treat,"North Indian, Chinese",2.8,350.0,Bannerghatta Road
I Cool,"Juices, Fast Food",4.0,150.0,Jp Nagar
Mahek Pizza,Pizza,3.9,400.0,Jp Nagar
Asha Sweets Centre,Fast Food,3.9,250.0,Jp Nagar
KC Das- Sweet World,"Mithai, Street Food",3.3,200.0,Jp Nagar
Stoned Monkey,"Desserts, Ice Cream",3.9,500.0,Jp Nagar
Panther Cafe,Beverages,3.5,200.0,Btm
Udupi Upachar,"South Indian, North Indian, Chinese, Street Food",3.3,300.0,Jp Nagar
Juicy Momos,"Tibetan, Momos",3.1,250.0,Bannerghatta Road
Roots n Fruits,"Beverages, Juices, Healthy Food",3.6,250.0,Jp Nagar
Kaizen Wellness Kitchen,"Asian, Continental, European",3.7,800.0,Jp Nagar
Big Mishra Pedha,"Mithai, Desserts, Fast Food",3.3,300.0,Bannerghatta Road
Mad Over Donuts,"Bakery, Desserts, Beverages",3.1,450.0,Bannerghatta Road
Kolkata Famous Kati Rolls,"Fast Food, Rolls",3.1,100.0,Bannerghatta Road
Vinaya Cafe,"South Indian, Street Food, Juices",3.7,200.0,Jp Nagar
RBP Greens Garden,"North Indian, Chinese",2.7,700.0,Btm
Dazu Momoz,"Tibetan, Momos",3.1,200.0,Bannerghatta Road
Desi Dhaba,"North Indian, Chinese",3.3,400.0,Btm
World of Waffles,Desserts,3.9,400.0,Jp Nagar
Pika's Kitchen,"Continental, Italian",3.4,800.0,Bannerghatta Road
Lassi Cafe,"Beverages, Ice Cream",3.4,150.0,Bannerghatta Road
New Mogul Empire,"North Indian, Chinese",3.4,300.0,Jp Nagar
Atithi Biryani Corner,"Biryani, South Indian",3.3,200.0,Jp Nagar
Oottupura Family Restaurant,"Kerala, South Indian, Biryani",3.4,400.0,Bannerghatta Road
Tisano Cafe,"Cafe, Fast Food, Chinese, Continental",3.8,500.0,Bannerghatta Road
Yumme Veg,"Fast Food, Street Food",3.6,200.0,Bannerghatta Road
Shree Guru Raghavendra Chats Chintamani Special,"Street Food, Fast Food",3.6,200.0,Bannerghatta Road
Vyanjan,"North Indian, Street Food",3.9,300.0,Btm
Havmor,"Ice Cream, Desserts",3.5,200.0,Jp Nagar
Sri Sankara Cafe,South Indian,3.6,100.0,Btm
Bhaijaan Barbeques,"Mughlai, Arabian, BBQ",3.4,200.0,South Bangalore
Sri Krishna Sagar,"South Indian, North Indian, Chinese",3.4,300.0,Kanakapura Road
Chatter Platter,"Street Food, North Indian",3.5,300.0,Btm
Bikaneri Sweets,"Mithai, Street Food",3.4,250.0,Bannerghatta Road
Watson's,"Finger Food, Chinese, Continental",4.0,1300.0,Jp Nagar
Sri Nandi Grand,"North Indian, South Indian",3.4,300.0,Btm
Chicken Man,"Roast Chicken, Burger",3.8,400.0,Jp Nagar
Chef Baker's,Bakery,3.6,450.0,Bannerghatta Road
Sree Ganesha Fruits & Juice,Juices,3.4,100.0,Bannerghatta Road
Goli Vada Pav No. 1,Street Food,3.2,200.0,Jp Nagar
Nandhana Palace,"Andhra, Biryani, North Indian, Chinese",4.1,800.0,Bannerghatta Road
Biryani Nights,"South Indian, North Indian, Chinese",3.6,400.0,Bannerghatta Road
Thejas Bhavan,"North Indian, South Indian, Chinese",3.5,400.0,Bannerghatta Road
Kababish Restaurant,"North Indian, Chinese, Arabian",3.6,700.0,Btm
Graffitea,"Beverages, Fast Food",3.7,200.0,Btm
Gappe,Street Food,3.8,200.0,Bannerghatta Road
On The Nose,"Cafe, Italian, Mexican, Chinese",3.8,600.0,Btm
Juicy & Spicy,"Bakery, Fast Food",3.1,150.0,Jp Nagar
Eat Repeat Express,"North Indian, South Indian, Chinese, Biryani, Mexican",3.2,700.0,Jp Nagar
TFI - The Fresh Ice Cream,"Ice Cream, Beverages",3.2,400.0,Bannerghatta Road
Mirch Masala,North Indian,3.4,500.0,Jp Nagar
Just Chill,Beverages,3.4,250.0,Btm
Bengalooru Tiffany's,"South Indian, North Indian, Chinese, Street Food",3.0,400.0,Jp Nagar
Udupi Thaja Thindi,"North Indian, South Indian, Chinese, Fast Food",2.9,250.0,Btm
Baba Ka Dhaba,North Indian,3.7,400.0,Btm
Hot Burg,"Fast Food, Juices",3.5,200.0,Bannerghatta Road
Northern Bites,"North Indian, Chinese",3.3,400.0,Bannerghatta Road
Hotel Smile,"North Indian, Chinese",3.1,400.0,Jayanagar
Roll Wala,"Rolls, Juices",3.3,300.0,Jp Nagar
Natural Ice Cream,"Ice Cream, Desserts",4.3,150.0,Bannerghatta Road
Biriyani Mane,"Biryani, Chinese, North Indian",3.7,700.0,Jayanagar
F3 Food Fun Fiesta,"Chinese, Fast Food, North Indian",3.3,500.0,Bannerghatta Road
Churchill's,"North Indian, Continental",4.1,1100.0,Jp Nagar
Kulkarni's New Uttara Karnataka Food Speciality Stores,South Indian,3.4,250.0,Jp Nagar
The Hungers Zone,"Fast Food, Italian, Pizza",3.8,300.0,Btm
Brew Point,"Cafe, American, Burger, Sandwich, Fast Food",3.6,500.0,Jp Nagar
The Chocolate Room,"Cafe, Desserts",3.9,400.0,Jp Nagar
Aramane Restaurant,"North Indian, South Indian, Seafood, Biryani, Chinese",2.9,800.0,Bannerghatta Road
Hunger2Eat,"Biryani, Fast Food, North Indian",3.8,400.0,Btm
BBQ Ride 46,BBQ,3.4,200.0,South Bangalore
Bawarchi Inn,"North Indian, Biryani, Andhra, Chinese",3.1,600.0,Btm
Ruh's Cafe,"Cafe, American, Italian, Continental, Chinese",4.1,500.0,Btm
Eatery Have U Been,"Cafe, Chinese, Fast Food, Burger, North Indian",3.4,500.0,Btm
Mojo Pizza - 2X Toppings,Pizza,4.2,600.0,Bannerghatta Road
Upahar Banashree,"South Indian, North Indian",3.4,400.0,Bannerghatta Road
Me And My Cake,"Bakery, Desserts",3.1,500.0,Jp Nagar
Bhojon Tripti,"Bengali, North Indian",2.9,300.0,Bannerghatta Road
New South Corner,"South Indian, North Indian, Chinese",3.7,300.0,Btm
Khana Khazana,North Indian,3.7,400.0,Bannerghatta Road
China Tang,Chinese,3.7,600.0,Btm
California Burrito,"Mexican, Fast Food",4.0,400.0,Bannerghatta Road
Tandoor Garden,"North Indian, Chinese, Kebab",3.6,350.0,Btm
Caffe Pascucci,"Continental, Italian, Beverages",4.0,1300.0,Jp Nagar
Freeze It,Ice Cream,3.6,300.0,Btm
Meal Square,"North Indian, Chinese",3.2,600.0,Bannerghatta Road
Chaitanya Cafe,"South Indian, North Indian, Fast Food",3.9,300.0,Jp Nagar
Anand Sweets and Savouries,"Mithai, Street Food",4.1,400.0,Bannerghatta Road
Tasty Jigarthanda,"Beverages, Ice Cream",3.4,150.0,Btm
Berrylicious,"Ice Cream, Desserts, Bakery",3.8,400.0,Jp Nagar
RCS Kitchen,Continental,3.3,500.0,Btm
